,height,weight,size,color
634,187.96,83.91458845000001,L,yellow
635,172.72,90.718474,L,yellow
636,193.04,108.8621688,L,yellow
637,167.64000000000001,87.08973504000001,M,green
638,180.34,88.45051215000001,L,yellow
639,170.18,86.1825503,L,yellow
640,175.26,72.57477920000001,M,green
641,177.8,97.52235955,L,yellow
642,167.64000000000001,92.98643585,XL,purple
643,175.26,86.1825503,M,green
644,182.88,83.91458845000001,XL,purple
645,185.42000000000002,84.82177319,M,green
646,167.64000000000001,86.1825503,L,yellow
647,193.04,108.8621688,XL,purple
648,182.88,82.10021897,S,red
649,170.18,88.90410452,S,red
650,172.72,92.98643585,XL,purple
651,172.72,88.45051215000001,L,yellow
652,175.26,99.79032140000001,L,yellow
653,177.8,82.10021897,XL,purple
654,167.64000000000001,77.1107029,XS,blue
655,177.8,88.45051215000001,XL,purple
656,177.8,88.45051215000001,M,green
657,180.34,102.51187562000001,XS,blue
658,162.56,62.142154690000005,L,yellow
659,175.26,95.2543977,M,green
660,180.34,80.28584949,L,yellow
661,177.8,71.66759446,L,yellow
662,187.96,70.30681735,L,yellow
663,182.88,117.9340162,L,yellow
664,170.18,87.99691978,M,green
665,180.34,74.84274105,L,yellow
666,175.26,79.37866475,M,green
667,177.8,79.37866475,M,green
668,172.72,79.37866475,L,yellow
669,218.44,75.74992579,XS,blue
670,175.26,85.72895793,M,green
671,195.58,94.34721296000001,S,red
672,180.34,92.98643585,L,yellow
673,182.88,83.91458845000001,L,yellow
674,190.5,90.718474,XL,purple
675,187.96,84.82177319,L,yellow
676,182.88,93.89362059,XL,purple
677,180.34,75.74992579,M,green
678,180.34,64.41011654,L,yellow
679,172.72,70.30681735,L,yellow
680,185.42000000000002,81.6466266,XL,purple
681,177.8,77.56429527,XL,purple
682,175.26,124.28430938000001,M,green
683,180.34,96.61517481,M,green
684,162.56,70.30681735,M,green
685,167.64000000000001,58.05982336,L,yellow
686,180.34,93.44002822,S,red
687,180.34,70.30681735,M,green
688,172.72,92.98643585,XS,blue
689,175.26,79.37866475,XL,purple
690,185.42000000000002,91.17206637000001,M,green
691,165.1,58.9670081,XL,purple
692,167.64000000000001,72.57477920000001,S,red
693,180.34,95.2543977,XL,purple
694,187.96,70.30681735,L,yellow
695,175.26,74.84274105,XS,blue
696,175.26,92.53284348000001,L,yellow
697,185.42000000000002,77.1107029,XS,blue
698,195.58,88.45051215000001,M,green
699,193.04,68.0388555,XL,purple
700,190.5,74.84274105,L,yellow
701,180.34,77.1107029,L,yellow
702,182.88,106.59420695,S,red
703,170.18,68.0388555,L,yellow
704,203.2,99.79032140000001,M,green
705,172.72,79.37866475,XL,purple
706,185.42000000000002,90.718474,M,green
707,172.72,67.58526313,L,yellow
708,180.34,83.91458845000001,M,green
709,172.72,68.94604024,S,red
710,175.26,95.2543977,XL,purple
711,162.56,86.1825503,M,green
712,180.34,83.91458845000001,L,yellow
713,172.72,80.73944186,L,yellow
714,198.12,99.79032140000001,M,green
715,172.72,70.76040972,XL,purple
716,175.26,63.502931800000006,XL,purple
717,172.72,88.45051215000001,L,yellow
718,172.72,81.6466266,M,green
719,170.18,81.19303423000001,L,yellow
720,177.8,78.92507238,XS,blue
721,167.64000000000001,77.1107029,XL,purple
722,180.34,68.0388555,M,green
723,193.04,113.3980925,XS,blue
724,175.26,79.37866475,XL,purple
725,175.26,74.84274105,L,yellow
726,175.26,92.98643585,S,red
727,177.8,83.91458845000001,L,yellow
728,172.72,86.1825503,M,green
729,175.26,95.2543977,XL,purple
730,177.8,101.60469088,L,yellow
731,172.72,83.91458845000001,S,red
732,177.8,90.718474,M,green
733,177.8,99.79032140000001,L,yellow
734,177.8,81.6466266,XS,blue
735,177.8,84.82177319,L,yellow
736,167.64000000000001,86.1825503,XS,blue
737,170.18,83.91458845000001,XS,blue
738,175.26,84.82177319,M,green
739,177.8,99.79032140000001,XS,blue
740,175.26,86.1825503,M,green
741,172.72,77.1107029,M,green
742,170.18,68.0388555,M,green
743,175.26,81.6466266,M,green
744,180.34,88.45051215000001,XL,purple
745,180.34,109.76935354000001,XS,blue
746,185.42000000000002,97.52235955,M,green
747,185.42000000000002,97.52235955,XS,blue
748,187.96,97.52235955,M,green
749,175.26,101.15109851000001,XS,blue
750,167.64000000000001,72.57477920000001,M,green
751,170.18,88.90410452,S,red
