height,weight,size,color
152.4,52.16312255,S,red
165.1,58.9670081,L,yellow
167.64,72.57477920000001,M,green
157.48,57.60623099,L,yellow
165.1,64.86370891,L,yellow
160.02,55.33826914,S,red
160.02,58.9670081,L,yellow
165.1,65.77089365,XS,blue
175.26,75.74992579,S,red
160.02,55.79186151,L,yellow
162.56,61.23496995,L,yellow
167.64,58.9670081,S,red
162.56,68.0388555,M,green
157.48,60.32778521,L,yellow
147.32,45.359237,S,red
170.18,72.57477920000001,L,yellow
170.18,72.57477920000001,S,red
157.48,53.07030729,L,yellow
152.4,52.16312255,S,red
154.94,62.142154690000005,S,red
172.72,78.92507238,L,yellow
157.48,56.24545388,L,yellow
162.56,68.0388555,S,red
165.1,58.05982336,L,yellow
157.48,61.23496995,S,red
170.18,77.1107029,S,red
157.48,52.61671492,S,red
162.56,57.60623099,L,yellow
172.72,68.0388555,S,red
162.56,76.65711053,S,red
170.18,59.42060047,XL,purple
157.48,61.23496995,S,red
154.94,53.523899660000005,L,yellow
167.64,61.23496995,S,red
152.4,58.05982336,L,yellow
167.64,64.86370891,XL,purple
152.4,62.59574706,XL,purple
167.64,90.718474,L,yellow
167.64,64.86370891,L,yellow
144.78,67.13167076,XL,purple
162.56,76.65711053,S,red
172.72,64.86370891,M,green
175.26,107.95498406,S,red
177.8,86.1825503,XL,purple
167.64,77.1107029,M,green
162.56,83.00740371,L,yellow
162.56,67.58526313,S,red
162.56,74.84274105,S,red
160.02,79.37866475,S,red
165.1,68.0388555,L,yellow
170.18,70.30681735,L,yellow
165.1,54.4310844,L,yellow
172.72,78.47148001000001,XL,purple
167.64,65.31730128000001,L,yellow
160.02,56.69904625,L,yellow
165.1,82.55381134000001,XL,purple
172.72,81.6466266,XL,purple
167.64,69.85322498000001,L,yellow
162.56,90.718474,S,red
160.02,62.142154690000005,L,yellow
167.64,67.13167076,XL,purple
160.02,61.68856232,S,red
167.64,58.9670081,XL,purple
165.1,68.49244787,L,yellow
160.02,67.58526313,S,red
160.02,63.502931800000006,L,yellow
165.1,59.874192840000006,L,yellow
172.72,72.57477920000001,L,yellow
149.86,60.32778521,XL,purple
167.64,63.04933943,L,yellow
165.1,56.69904625,XS,blue
170.18,66.67807839000001,L,yellow
170.18,63.502931800000006,XL,purple
162.56,58.9670081,L,yellow
157.48,61.68856232,XL,purple
167.64,68.0388555,L,yellow
167.64,63.04933943,XL,purple
177.8,74.84274105,S,red
170.18,83.91458845000001,L,yellow
162.56,57.60623099,L,yellow
160.02,67.58526313,S,red
160.02,61.23496995,S,red
172.72,74.84274105,L,yellow
160.02,63.502931800000006,L,yellow
167.64,62.59574706,S,red
157.48,60.78137758,S,red
162.56,68.0388555,XL,purple
157.48,58.9670081,L,yellow
167.64,72.57477920000001,S,red
160.02,58.9670081,L,yellow
165.1,65.77089365,L,yellow
144.78,47.62719885,L,yellow
167.64,73.48196394,S,red
172.72,78.01788764,S,red
167.64,67.13167076,XL,purple
160.02,62.59574706,L,yellow
160.02,72.57477920000001,L,yellow
165.1,58.9670081,L,yellow
160.02,66.22448602,L,yellow
157.48,61.23496995,L,yellow
170.18,74.84274105,XL,purple
172.72,70.76040972,XL,purple
170.18,61.68856232,S,red
165.1,69.85322498000001,L,yellow
160.02,55.79186151,L,yellow
172.72,65.77089365,XL,purple
172.72,70.76040972,XL,purple
160.02,58.05982336,L,yellow
167.64,74.84274105,S,red
162.56,49.44156833,S,red
162.56,56.69904625,L,yellow
170.18,81.6466266,XL,purple
172.72,76.20351816,L,yellow
160.02,61.23496995,L,yellow
165.1,68.0388555,L,yellow
177.8,83.00740371,XL,purple
154.94,58.9670081,L,yellow
152.4,63.502931800000006,L,yellow
160.02,60.32778521,L,yellow
160.02,58.9670081,L,yellow
157.48,54.4310844,L,yellow
160.02,63.502931800000006,XL,purple
160.02,65.77089365,S,red
162.56,67.13167076,L,yellow
160.02,63.502931800000006,L,yellow
167.64,72.57477920000001,L,yellow
172.72,58.05982336,L,yellow
162.56,56.69904625,XL,purple
165.1,63.502931800000006,XL,purple
160.02,65.77089365,S,red
165.1,55.33826914,L,yellow
170.18,68.0388555,L,yellow
170.18,79.37866475,L,yellow
162.56,56.69904625,S,red
167.64,68.0388555,XL,purple
167.64,58.9670081,XL,purple
157.48,53.523899660000005,S,red
162.56,68.0388555,XL,purple
157.48,74.84274105,L,yellow
170.18,61.23496995,S,red
142.24,58.9670081,XL,purple
175.26,79.37866475,S,red
162.56,52.16312255,L,yellow
165.1,71.66759446,L,yellow
167.64,58.9670081,L,yellow
154.94,58.05982336,XL,purple
152.4,63.502931800000006,L,yellow
162.56,68.94604024,L,yellow
170.18,56.69904625,L,yellow
175.26,68.0388555,XS,blue
162.56,54.4310844,S,red
142.24,45.359237,L,yellow
160.02,58.05982336,XL,purple
172.72,82.10021897,L,yellow
172.72,72.57477920000001,L,yellow
